"ano_pesquisa","cargo","senioridade","total_profissionais","pct_do_ano"
"2025","Desenvolvedor/ Engenheiro de Software/ Analista de Sistemas","Pleno","27","0.77"
"2025","Analytics Engineer","Especialista/Staff+","24","0.69"
"2025","Desenvolvedor/ Engenheiro de Software/ Analista de Sistemas","Júnior","24","0.69"
"2025","Analista de Negócios/Business Analyst","Júnior","22","0.63"
"2025","Outra Opção","Especialista/Staff+","22","0.63"
"2025","Engenheiro de Machine Learning/ML Engineer/AI Engineer","Júnior","21","0.6"
"2025","Analista de Suporte/Analista Técnico","Pleno","20","0.57"
"2025","Analista de Suporte/Analista Técnico","Júnior","20","0.57"
"2025","Data Product Manager/ Product Manager (PM/APM/DPM/GPM/PO)","Sênior","19","0.54"
"2025","Analista de Negócios/Business Analyst","Especialista/Staff+","18","0.52"
"2025","Analista de BI/BI Analyst","Especialista/Staff+","17","0.49"
"2025","Engenheiro de Machine Learning/ML Engineer/AI Engineer","Pleno","16","0.46"
"2025","Analista de Suporte/Analista Técnico","Sênior","15","0.43"
"2025","Desenvolvedor/ Engenheiro de Software/ Analista de Sistemas","Especialista/Staff+","14","0.4"
"2025","Arquiteto de Dados/Data Architect","Especialista/Staff+","13","0.37"
"2025","Analytics Engineer","Júnior","11","0.31"
"2025","Arquiteto de Dados/Data Architect","Sênior","10","0.29"
"2025","Data Product Manager/ Product Manager (PM/APM/DPM/GPM/PO)","Especialista/Staff+","10","0.29"
"2025","Outras Engenharias (não inclui dev)","Pleno","8","0.23"
"2025","Outras Engenharias (não inclui dev)","Especialista/Staff+","7","0.2"
"2025","Outras Engenharias (não inclui dev)","Sênior","6","0.17"
"2025","Professor/Pesquisador","Sênior","6","0.17"
"2025","Outras Engenharias (não inclui dev)","Júnior","5","0.14"
"2025","Professor/Pesquisador","Pleno","4","0.11"
"2025","Data Product Manager/ Product Manager (PM/APM/DPM/GPM/PO)","Pleno","4","0.11"
"2025","Estatístico","Júnior","4","0.11"
"2025","Professor/Pesquisador","Júnior","3","0.09"
"2025","Estatístico","Pleno","3","0.09"
"2025","Professor/Pesquisador","Especialista/Staff+","3","0.09"
"2025","Arquiteto de Dados/Data Architect","Pleno","3","0.09"
"2025","Arquiteto de Dados/Data Architect","Júnior","2","0.06"
"2025","Estatístico","Sênior","1","0.03"
"2025","Estatístico","Especialista/Staff+","1","0.03"
